Fecha,Apertura,Máximo,Mínimo,Cierre,Cierre_Ajustado,Volumen
,2291149.0,2331767.0,2291149.0,2304090.0,2304090.0,
,2201246.0,2294153.0,2188247.0,2291149.0,2291149.0,
,2228859.0,2247915.0,2184804.0,2201246.0,2201246.0,
,2202444.0,2264665.0,2197906.0,2228859.0,2228859.0,
,2211583.0,2247081.0,2159530.0,2202444.0,2202444.0,
,2216278.0,2250505.0,2197153.0,2211583.0,2211583.0,
,2303990.0,2306929.0,2201825.0,2216278.0,2216278.0,
,2299129.0,2326959.0,2270154.0,2303990.0,2303990.0,
,2258295.0,2297352.0,2256069.0,2295432.0,2295432.0,
2024-11-29,2230803.0,2264235.0,2209296.0,2258295.0,2258295.0,
2024-11-28,2205245.0,2233581.0,2205245.0,2230803.0,2230803.0,
2024-11-27,2252266.0,2268005.0,2190555.0,2205245.0,2205245.0,
2024-11-26,2218551.0,2268221.0,2192630.0,2252266.0,2252266.0,
2024-11-25,2211988.0,2268989.0,2167662.0,2218551.0,2218551.0,
2024-11-22,2140096.0,2224281.0,2133547.0,2211988.0,2211988.0,
2024-11-21,2145972.0,2186534.0,2123362.0,2140096.0,2140096.0,
2024-11-20,2124413.0,2152823.0,2109098.0,2145972.0,2145972.0,
2024-11-19,2066915.0,2186763.0,2066915.0,2124413.0,2124413.0,
2024-11-15,2087647.0,2137920.0,2059359.0,2066915.0,2066915.0,
2024-11-14,2042917.0,2094440.0,2042917.0,2087647.0,2087647.0,
2024-11-13,2012041.0,2049780.0,2012041.0,2042551.0,2042551.0,
2024-11-12,1987846.0,2017031.0,1958182.0,2012041.0,2012041.0,
2024-11-11,1964487.0,1991098.0,1918412.0,1987846.0,1987846.0,
2024-11-08,2015558.0,2056045.0,1928414.0,1964487.0,1964487.0,
2024-11-07,1976613.0,2030329.0,1976613.0,2015558.0,2015558.0,
2024-11-06,1931281.0,2016579.0,1931281.0,1976613.0,1976613.0,
2024-11-05,1921116.0,1942612.0,1905726.0,1931281.0,1931281.0,
2024-11-04,1879879.0,1926471.0,1875847.0,1919066.0,1919066.0,
2024-11-01,1851672.0,1908129.0,1851672.0,1879879.0,1879879.0,
2024-10-31,1837535.0,1857858.0,1815360.0,1848744.0,1848744.0,
2024-10-30,1845639.0,1870921.0,1825750.0,1837535.0,1837535.0,
2024-10-29,1851914.0,1883422.0,1844116.0,1845639.0,1845639.0,
2024-10-28,1872785.0,1902987.0,1845463.0,1851914.0,1851914.0,
2024-10-25,1849995.0,1894257.0,1849995.0,1872785.0,1872785.0,
